,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.09722222222222222,0.125,0.09027777777777778,0.9285714285714285,7.428571428571428,0.078125,12.249999999999986
1,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.125,0.09722222222222222,0.09027777777777778,0.7222222222222222,7.428571428571428,0.078125,3.25
2,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.2465277777777778,0.125,0.08680555555555555,0.352112676056338,2.816901408450704,0.05598958333333333,1.3505434782608696
3,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.125,0.2465277777777778,0.08680555555555555,0.6944444444444444,2.816901408450704,0.05598958333333333,2.465909090909091
4,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.16666666666666666,0.125,0.11458333333333333,0.6875,5.5,0.09375,2.8
5,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.125,0.16666666666666666,0.11458333333333333,0.9166666666666666,5.5,0.09375,9.999999999999996
6,frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.16666666666666666,0.09722222222222222,0.09375,0.5625,5.785714285714286,0.0775462962962963,2.0634920634920637
7,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER'}),0.09722222222222222,0.16666666666666666,0.09375,0.9642857142857143,5.7857142857142865,0.0775462962962963,23.333333333333346
8,frozenset({'REGENCY CAKESTAND 3 TIER'}),frozenset({'REGENCY SUGAR BOWL GREEN'}),0.2465277777777778,0.08680555555555555,0.07291666666666667,0.29577464788732394,3.407323943661972,0.051516685956790126,1.296736111111111
9,frozenset({'REGENCY SUGAR BOWL GREEN'}),frozenset({'REGENCY CAKESTAND 3 TIER'}),0.08680555555555555,0.2465277777777778,0.07291666666666667,0.8400000000000001,3.407323943661972,0.051516685956790126,4.709201388888891
